Hash Base,Table Size,Label,Filename,Words,Time,Collisions,Probes,Probe Max,Rehash
1,250727,B = 1TS = 250727,english_small.txt,4955,10,4585,9279001,4849,0
1,250727,B = 1TS = 250727,english_large.txt,4952,10,4616,9355082,4878,0
1,250727,B = 1TS = 250727,french.txt,6211,10,5506,9688464,4814,0
1,402221,B = 1TS = 402221,english_small.txt,5094,10,4723,9887229,4976,0
1,402221,B = 1TS = 402221,english_large.txt,4952,10,4616,9355082,4878,0
1,402221,B = 1TS = 402221,french.txt,6197,10,5492,9625536,4814,0
1,1000081,B = 1TS = 1000081,english_small.txt,4996,10,4626,9464056,4888,0
1,1000081,B = 1TS = 1000081,english_large.txt,4997,10,4661,9559318,4906,0
1,1000081,B = 1TS = 1000081,french.txt,6140,10,5436,9410870,4637,0
27183,250727,B = 27183TS = 250727,english_small.txt,84097,0.7880545000000012,14263,22576,23,0
27183,250727,B = 27183TS = 250727,english_large.txt,194433,2.3337740999999994,76623,420606,278,0
27183,250727,B = 27183TS = 250727,french.txt,202358,2.707744599999998,84810,559238,290,0
27183,402221,B = 27183TS = 402221,english_small.txt,84097,0.7426012999999898,9007,11742,13,0
27183,402221,B = 27183TS = 402221,english_large.txt,194433,1.8870588000000055,47798,100107,43,0
27183,402221,B = 27183TS = 402221,french.txt,202358,2.275184100000004,53611,125161,45,0
27183,1000081,B = 27183TS = 1000081,english_small.txt,84097,0.8306574000000069,3500,3935,15,0
27183,1000081,B = 27183TS = 1000081,english_large.txt,194433,1.9253883000000087,19039,24442,20,0
27183,1000081,B = 27183TS = 1000081,french.txt,202358,2.23584240000001,21902,30388,19,0
27183,250727,B = 27183TS = 250727,english_small.txt,84097,0.8207007999999973,14263,22576,23,0
27183,250727,B = 27183TS = 250727,english_large.txt,194433,2.3872585000000015,76623,420606,278,0
27183,250727,B = 27183TS = 250727,french.txt,202358,3.043696499999996,84810,559238,290,0
27183,402221,B = 27183TS = 402221,english_small.txt,84097,0.8090427000000062,9007,11742,13,0
27183,402221,B = 27183TS = 402221,english_large.txt,194433,1.9495344999999986,47798,100107,43,0
27183,402221,B = 27183TS = 402221,french.txt,202358,2.295002800000006,53611,125161,45,0
27183,1000081,B = 27183TS = 1000081,english_small.txt,84097,0.7666634999999928,3500,3935,15,0
27183,1000081,B = 27183TS = 1000081,english_large.txt,194433,1.9473447000000021,19039,24442,20,0
27183,1000081,B = 27183TS = 1000081,french.txt,202358,2.1935103,21902,30388,19,0
